note_text,icd_code
Cholera due to Vibrio cholerae 01 biovar cholerae ,A00.0
Cholera due to Vibrio cholerae 01 biovar eltor ,A00.1
Cholera unspecified ,A00.9
Typhoid fever unspecified ,A01.00
Paratyphoid fever A ,A01.1
Paratyphoid fever B ,A01.2
Paratyphoid fever C ,A01.3
Paratyphoid fever unspecified ,A01.4
Salmonella enteritis ,A02.0
Salmonella sepsis ,A02.1
Localized salmonella infection unspecified ,A02.20
Salmonella meningitis ,A02.21
Salmonella pneumonia ,A02.22
Salmonella arthritis ,A02.23
Salmonella osteomyelitis ,A02.24
Salmonella with other localized infection ,A02.29
Other specified salmonella infections ,A02.8
Salmonella infection unspecified ,A02.9
Shigellosis due to Shigella dysenteriae ,A03.0
Shigellosis due to Shigella flexneri ,A03.1
Shigellosis due to Shigella boydii ,A03.2
Shigellosis due to Shigella sonnei ,A03.3
Other shigellosis ,A03.8
Shigellosis unspecified ,A03.9
Foodborne staphylococcal intoxication ,A05.0
Botulism food poisoning ,A05.1
Foodborne Clostridium perfringens [Clostridium welchii] intoxication ,A05.2
Other specified bacterial foodborne intoxications ,A05.8
Foodborne Vibrio parahaemolyticus intoxication ,A05.3
Foodborne Vibrio vulnificus intoxication ,A05.5
Foodborne Bacillus cereus intoxication ,A05.4
Bacterial foodborne intoxication unspecified ,A05.9
Acute amebic dysentery ,A06.0
Chronic intestinal amebiasis ,A06.1
Amebic nondysenteric colitis ,A06.2
Amebic liver abscess ,A06.4
Amebic lung abscess ,A06.5
Amebic brain abscess ,A06.6
Cutaneous amebiasis ,A06.7
Other amebic infections ,A06.89
Amebiasis unspecified ,A06.9
Balantidiasis ,A07.0
Giardiasis [lambliasis] ,A07.1
Isosporiasis ,A07.3
Other specified protozoal intestinal diseases ,A07.8
Cryptosporidiosis ,A07.2
Cyclosporiasis ,A07.4
Other specified protozoal intestinal diseases ,A07.8
Protozoal intestinal disease unspecified ,A07.9
Other intestinal Escherichia coli infections ,A04.4
Enteropathogenic Escherichia coli infection ,A04.0
Enterotoxigenic Escherichia coli infection ,A04.1
Enteroinvasive Escherichia coli infection ,A04.2
Enterohemorrhagic Escherichia coli infection ,A04.3
Other intestinal Escherichia coli infections ,A04.4
Other specified bacterial intestinal infections ,A04.8
Campylobacter enteritis ,A04.5
Enteritis due to Yersinia enterocolitica ,A04.6
Enterocolitis due to Clostridium difficile ,A04.7
Other specified bacterial intestinal infections ,A04.8
Bacterial intestinal infection unspecified ,A04.9
Rotaviral enteritis ,A08.0
Adenoviral enteritis ,A08.2
Acute gastroenteropathy due to Norwalk agent ,A08.11
Acute gastroenteropathy due to other small round viruses ,A08.19
Calicivirus enteritis ,A08.31
Astrovirus enteritis ,A08.32
Other viral enteritis ,A08.39
Other viral enteritis ,A08.39
Other specified intestinal infections ,A08.8
Infectious gastroenteritis and colitis unspecified ,A09
Primary respiratory tuberculosis ,A15.7
Tuberculous pleurisy ,A15.6
Primary respiratory tuberculosis ,A15.7
Tuberculosis of lung ,A15.0
Tuberculosis of larynx trachea and bronchus ,A15.5
Tuberculosis of lung ,A15.0
Tuberculosis of lung ,A15.0
Tuberculosis of lung ,A15.0
Tuberculous pleurisy ,A15.6
Tuberculosis of intrathoracic lymph nodes ,A15.4
Tuberculosis of larynx trachea and bronchus ,A15.5
Other respiratory tuberculosis ,A15.8
Other respiratory tuberculosis ,A15.8
Other respiratory tuberculosis ,A15.8
Other respiratory tuberculosis ,A15.8
Other respiratory tuberculosis ,A15.8
Other respiratory tuberculosis ,A15.8
Other respiratory tuberculosis ,A15.8
Tuberculous meningitis ,A17.0
Meningeal tuberculoma ,A17.1
Tuberculoma of brain and spinal cord ,A17.81
Tuberculous meningoencephalitis ,A17.82
Other tuberculosis of nervous system ,A17.89
Tuberculosis of nervous system unspecified ,A17.9
Tuberculous peritonitis ,A18.31
Tuberculous enteritis ,A18.32
Tuberculosis of spine ,A18.01
Tuberculous arthritis of other joints ,A18.02
Tuberculosis of other bones ,A18.03
Tuberculous arthritis of other joints ,A18.02
Tuberculosis of kidney and ureter ,A18.11
Tuberculosis of bladder ,A18.12
Tuberculosis of other urinary organs ,A18.13
Tuberculosis of other male genital organs ,A18.15
Tuberculosis of other male genital organs ,A18.15
Tuberculous female pelvic inflammatory disease ,A18.17
