note_text,icd_code
History of fever,R50.9
Diagnosed with fever,R50.9
Currently has fever,R50.9
Presents with fever,R50.9
Showing signs of fever,R50.9
Complains of fever,R50.9
Suffering from fever,R50.9
Patient reports fever,R50.9
Complains of cough,R05
Findings suggest cough,R05
Involuntary throat clearing and coughing,R05
Persistent irritation in the throat,R05
Presents with cough,R05
Suffering from cough,R05
Experiencing cough,R05
Currently has cough,R05
History of cough,R05
Presents with cough,R05
Currently has cough,R05
Diagnosed with cough,R05
Patient reports hypertension,I10
Findings suggest hypertension,I10
Complains of hypertension,I10
Diagnosed with hypertension,I10
Presents with hypertension,I10
Showing signs of hypertension,I10
Diagnosed with hypertension,I10
Findings suggest hypertension,I10
Showing signs of hypertension,I10
Experiencing hypertension,I10
Findings suggest type 2 diabetes,E11.9
Suffering from type 2 diabetes,E11.9
Patient reports type 2 diabetes,E11.9
Findings suggest type 2 diabetes,E11.9
History of type 2 diabetes,E11.9
History of type 2 diabetes,E11.9
Findings suggest type 2 diabetes,E11.9
Presents with type 2 diabetes,E11.9
Showing signs of type 2 diabetes,E11.9
Patient reports type 2 diabetes,E11.9
Findings suggest asthma,J45.909
Findings suggest asthma,J45.909
Presents with asthma,J45.909
Suffering from asthma,J45.909
Findings suggest asthma,J45.909
Experiencing asthma,J45.909
Complains of asthma,J45.909
Currently has asthma,J45.909
Patient reports asthma,J45.909
History of asthma,J45.909
Findings suggest fracture of skull,S02.9
Experiencing fracture of skull,S02.9
Showing signs of fracture of skull,S02.9
History of fracture of skull,S02.9
Suffering from fracture of skull,S02.9
Findings suggest fracture of skull,S02.9
History of fracture of skull,S02.9
Diagnosed with fracture of skull,S02.9
Currently has fracture of skull,S02.9
Presents with fracture of skull,S02.9
Findings suggest fracture of arm,S52.9
Presents with fracture of arm,S52.9
Findings suggest fracture of arm,S52.9
Experiencing fracture of arm,S52.9
Complains of fracture of arm,S52.9
History of fracture of arm,S52.9
Diagnosed with fracture of arm,S52.9
Presents with fracture of arm,S52.9
History of fracture of arm,S52.9
Patient reports fracture of arm,S52.9
Currently has migraine,G43.909
Findings suggest migraine,G43.909
Findings suggest migraine,G43.909
Patient reports migraine,G43.909
Showing signs of migraine,G43.909
Diagnosed with migraine,G43.909
Patient reports migraine,G43.909
Patient reports migraine,G43.909
Currently has migraine,G43.909
Complains of migraine,G43.909
Complains of chest pain,R07.9
Showing signs of chest pain,R07.9
Patient reports chest pain,R07.9
Complains of chest pain,R07.9
History of chest pain,R07.9
Currently has chest pain,R07.9
Presents with chest pain,R07.9
Suffering from chest pain,R07.9
Findings suggest chest pain,R07.9
History of chest pain,R07.9
Diagnosed with skin rash,L29.9
Showing signs of skin rash,L29.9
History of skin rash,L29.9
History of skin rash,L29.9
Currently has skin rash,L29.9
Currently has skin rash,L29.9
Suffering from skin rash,L29.9
Findings suggest skin rash,L29.9
History of skin rash,L29.9
Experiencing skin rash,L29.9
Experiencing anxiety disorder,F41.9
Patient reports anxiety disorder,F41.9
Findings suggest anxiety disorder,F41.9
Diagnosed with anxiety disorder,F41.9
Patient reports anxiety disorder,F41.9
Presents with anxiety disorder,F41.9
Currently has anxiety disorder,F41.9
History of anxiety disorder,F41.9
Currently has anxiety disorder,F41.9
Presents with anxiety disorder,F41.9
Findings suggest pneumonia,J18.9
Diagnosed with pneumonia,J18.9
Diagnosed with pneumonia,J18.9
Currently has pneumonia,J18.9
Presents with pneumonia,J18.9
Presents with pneumonia,J18.9
Diagnosed with pneumonia,J18.9
Suffering from pneumonia,J18.9
Showing signs of pneumonia,J18.9
Currently has pneumonia,J18.9
Complains of stroke,I63.9
Findings suggest stroke,I63.9
Diagnosed with stroke,I63.9
Presents with stroke,I63.9
Presents with stroke,I63.9
Findings suggest stroke,I63.9
Patient reports stroke,I63.9
Findings suggest stroke,I63.9
Presents with stroke,I63.9
Showing signs of stroke,I63.9
Suffering from kidney disease,N18.9
Diagnosed with kidney disease,N18.9
Currently has kidney disease,N18.9
Patient reports kidney disease,N18.9
Patient reports kidney disease,N18.9
Suffering from kidney disease,N18.9
Currently has kidney disease,N18.9
Complains of kidney disease,N18.9
Presents with kidney disease,N18.9
History of kidney disease,N18.9
Findings suggest gastric ulcer,K25.9
Suffering from gastric ulcer,K25.9
Showing signs of gastric ulcer,K25.9
Patient reports gastric ulcer,K25.9
Presents with gastric ulcer,K25.9
Patient reports gastric ulcer,K25.9
Showing signs of gastric ulcer,K25.9
Diagnosed with gastric ulcer,K25.9
Findings suggest gastric ulcer,K25.9
Currently has gastric ulcer,K25.9
Suffering from pregnancy complication,O26.9
Diagnosed with pregnancy complication,O26.9
Patient reports pregnancy complication,O26.9
Complains of pregnancy complication,O26.9
Experiencing pregnancy complication,O26.9
Complains of pregnancy complication,O26.9
Currently has pregnancy complication,O26.9
Patient reports pregnancy complication,O26.9
Presents with pregnancy complication,O26.9
Experiencing pregnancy complication,O26.9
Experiencing arthritis,M19.90
Currently has arthritis,M19.90
Diagnosed with arthritis,M19.90
Complains of arthritis,M19.90
Findings suggest arthritis,M19.90
History of arthritis,M19.90
Presents with arthritis,M19.90
Showing signs of arthritis,M19.90
Suffering from arthritis,M19.90
Diagnosed with arthritis,M19.90
Patient reports covid-19 infection,U07.1
Experiencing covid-19 infection,U07.1
Suffering from covid-19 infection,U07.1
Diagnosed with covid-19 infection,U07.1
History of covid-19 infection,U07.1
Diagnosed with covid-19 infection,U07.1
Suffering from covid-19 infection,U07.1
Diagnosed with covid-19 infection,U07.1
Experiencing covid-19 infection,U07.1
History of covid-19 infection,U07.1
Experiencing ear infection,H66.9
History of ear infection,H66.9
Diagnosed with ear infection,H66.9
Currently has ear infection,H66.9
Experiencing ear infection,H66.9
Patient reports ear infection,H66.9
Complains of ear infection,H66.9
Suffering from ear infection,H66.9
Currently has ear infection,H66.9
Findings suggest ear infection,H66.9
Patient reports sinusitis,J32.9
Suffering from sinusitis,J32.9
Findings suggest sinusitis,J32.9
Currently has sinusitis,J32.9
Diagnosed with sinusitis,J32.9
Diagnosed with sinusitis,J32.9
Complains of sinusitis,J32.9
Complains of sinusitis,J32.9
Complains of sinusitis,J32.9
Presents with sinusitis,J32.9
Showing signs of common cold,J00
Experiencing common cold,J00
Complains of common cold,J00
Showing signs of common cold,J00
Patient reports common cold,J00
History of common cold,J00
Complains of common cold,J00
Currently has common cold,J00
Diagnosed with common cold,J00
Findings suggest common cold,J00
Feeling very hot and sweating a lot,R50.9
Body temperature is unusually high,R50.9
Experiencing headaches and blurry vision,	I10
Feeling pressure in the head,	I10"
Increased thirst and frequent urination,E11.9
Feeling tired all the time,E11.9
Difficulty breathing during physical activity,J45.909
Wheezing sound while exhaling,J45.909
Severe head injury with swelling,S02.9
Loss of consciousness after fall,S02.9
Pain and swelling in arm after accident, S52.9
Inability to move arm properly,S52.9
Persistent headache with sensitivity to light, G43.909
Pounding pain on one side of the head,G43.909
Runny nose and sore throat, J00
Sneezing and mild cough,J00
Facial pain and nasal congestion, J32.9
Pressure around eyes and forehead,J32.9
Earache with fluid discharge, H66.9
Difficulty hearing and ear pressure,H66.9
Loss of smell and taste suddenly, U07.1
Fever and cough and shortness of breath,U07.1
Joint stiffness especially in morning, M19.90
Painful swollen joint,M19.90
Severe abdominal pain during pregnancy, O26.9
Swelling and high blood pressure while pregnant,O26.9
Burning stomach pain before meals, K25.9
Feeling of bloating and heartburn,K25.9
Swelling in ankles and feet, N18.9
Fatigue and changes in urination pattern,N18.9
Tightness or heaviness in the chest, R07.9
Sharp pain when breathing deeply,R07.9
Itchy red spots all over the skin, L29.9
Dry and irritated skin patches,L29.9
Feeling nervous without reason", F41.9
Experiencing rapid heartbeat and sweating",F41.9
Chest pain while coughing", J18.9
Shortness of breath with fever",J18.9
Sudden weakness on one side of the body,I63.9
Difficulty speaking or understanding speech,I63.9
Swelling in ankles and feet, N18.9
Fatigue and changes in urination pattern,N18.9
Burning stomach pain before meals", K25.9
Feeling of bloating and heartburn,K25.9
Feeling very hot and sweating continuously,R50.9 
Persistent irritation and dryness in throat,	R05 
Severe headache with blurry vision	,I10 
Feeling very thirsty and urinating often	,E11.9 
Shortness of breath while running or exercising,	J45.909 
Severe head swelling after a fall	,S02.9 
Sharp pain and swelling in left arm after fall,	S52.9 
Light sensitivity with throbbing headache,	G43.909 
Tightness and pressure in the chest,	R07.9 
Red itchy patches on the skin,L29.9 
Constant feeling of worry and rapid heartbeat	,F41.9 
Cough with chest pain and fever	,J18.9 
Sudden numbness on one side of body	,I63.9 
